case_id,split,opponent,side,seed,controller,outcome,end_condition,episode_seconds,damage_dealt,damage_received,health_margin,ownship_crash,target_crash,first_damage_s,phase1_cone_time_s,phase2_cone_time_s,phase3_cone_time_s,gate_active_ratio,nonzero_intervention_frames,min_altitude_m,min_speed_m_s,latency_ms_max,throttle_difference_max,invalid_or_nonfinite_actions,telemetry_sha256
development_bt_aip2_right_s8806,development,bt_aip2,right,8806,bt_default,win,target altitude below min,49.6,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.06754032258064516,0,1142.3718072,181.391544,0.00890000956133008,0.0,0,1D31D53CCE7FCFA7A358545D679C1F5B44142093A5BEF375C44BC0ED5EBC7825
development_bt_aip2_right_s8806,development,bt_aip2,right,8806,bc,win,target altitude below min,49.916666666666664,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.0674457429048414,103,1155.5452632000001,181.80309599999998,0.10010000551119447,0.0,0,02CC640DF80074D07695579EDFAB0BF68B25F30DDCBAC89FC47F248CF4451195
held_out_autopilot_left_s8901,held_out,autopilot,left,8901,pure,win,target destroyed,17.1,1.006364341836567,0.0,1.006364341836567,False,False,8.7,5.183333333333334,0.0,0.0,0.0,0,2913.1125888,186.638832,0.0,0.0,0,FDFE7E6975A31DDA01495A87530EC822812B224610CDC58104254E31AC7D74DE
held_out_autopilot_left_s8901,held_out,autopilot,left,8901,bt_default,win,target destroyed,17.1,1.006364341836567,0.0,1.006364341836567,False,False,8.7,5.183333333333334,0.0,0.0,0.9990253411306043,0,2913.1125888,186.638832,0.01179997343569994,0.0,0,6DCC5C9A79AD7509F64EDE935D0AE88BB7BB02737E0F3D5C23507419EE7AAA1C
held_out_autopilot_left_s8901,held_out,autopilot,left,8901,bc,win,target destroyed,17.016666666666666,1.0020067107845823,0.0,1.0020067107845823,False,False,8.733333333333333,5.233333333333333,0.0,0.0,0.9990205680705191,369,2934.9658344000004,186.638832,0.09929999941959977,0.0,0,D1664A3F599BF111FE2C70D146613189ABA79E6C5A96B103F41BC70F926B9415
held_out_autopilot_right_s8902,held_out,autopilot,right,8902,pure,win,target destroyed,12.45,1.003845063469249,0.0,1.003845063469249,False,False,7.116666666666666,5.333333333333333,0.0,0.0,0.0,0,3852.9097440000005,186.638832,0.0,0.0,0,EC7590001F1911D7992B701E7867DE5B8F0D6883EA777CB905ED30F07377126A
held_out_autopilot_right_s8902,held_out,autopilot,right,8902,bt_default,win,target destroyed,12.45,1.003845063469249,0.0,1.003845063469249,False,False,7.116666666666666,5.333333333333333,0.0,0.0,0.998661311914324,0,3852.9097440000005,186.638832,0.009700015652924776,0.0,0,64CBCAFAD9A72A3A080D45E03F70722E5C8691C52BBD6B6EA8AD537C5D3DD100
held_out_autopilot_right_s8902,held_out,autopilot,right,8902,bc,win,target destroyed,12.45,1.001434467927057,0.0,1.001434467927057,False,False,7.116666666666666,5.333333333333333,0.0,0.0,0.998661311914324,272,3853.4745384000003,186.638832,0.07919996278360486,0.0,0,15264C2841C5D0C9A2B5CD96FEC3E6750211CDFB3BA8A2B1BF3D5A9D5935D826
held_out_bt_0815_left_s8903,held_out,bt_0815,left,8903,pure,win,target altitude below min,39.266666666666666,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.0,0,484.45216800000003,186.638832,0.0,0.0,0,04F9D2027EEEC8D8D1A6F34BFCB371B67966CF73C344F7C860B6CD244F5490EE
held_out_bt_0815_left_s8903,held_out,bt_0815,left,8903,bt_default,win,target altitude below min,39.266666666666666,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.23938879456706283,0,484.45216800000003,186.638832,0.08700002217665315,0.0,0,676751583BE6E053BC84CB7E6F5134950891A30D57B904E4E191B35BD0A1B4AC
